filename,year,description,label,category,permalink
mdp/31974/mdp.39015093173741_00000041_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=41
mdp/31974/mdp.39015093173741_00000132_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=132
mdp/31974/mdp.39015093173741_00000164_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=164
mdp/31974/mdp.39015093173741_00000020_03.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=20
mdp/31974/mdp.39015093173741_00000019_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=19
mdp/31974/mdp.39015093173741_00000131_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=131
mdp/31974/mdp.39015093173741_00000042_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=42
mdp/31974/mdp.39015093173741_00000114_01.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=114
mdp/31974/mdp.39015093173741_00000133_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=133
mdp/31974/mdp.39015093173741_00000077_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=77
mdp/31974/mdp.39015093173741_00000135_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=135
mdp/31974/mdp.39015093173741_00000114_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=114
mdp/31974/mdp.39015093173741_00000019_01.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=19
mdp/31974/mdp.39015093173741_00000159_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=159
mdp/31974/mdp.39015093173741_00000020_02.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=20
mdp/31974/mdp.39015093173741_00000142_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=142
mdp/31974/mdp.39015093173741_00000031_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=31
mdp/31974/mdp.39015093173741_00000102_00.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=102
mdp/31974/mdp.39015093173741_00000077_01.jpg,1832,"An elementary treatise on geometry, simplified for beginners not versed in algebra. Part I, containing plane geometry, with its application to the solution of problems. By Francis J. Grund. | Grund, Francis J. 1804-1863. | Carter, Hendee & Co., 1832.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=mdp.39015093173741&view=1up&seq=77
njp/30115/njp.32101013012156_00000255_00.jpg,1835,"Elements of natural philosophy, with questions for review; illustrated by one hundred and eighty-eight engravings ... By Francis J. Grund ... | Grund, Francis J. 1804-1863. | Carter, Hendee & co., 1835.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=njp.32101013012156&view=1up&seq=255
njp/30115/njp.32101013012156_00000218_00.jpg,1835,"Elements of natural philosophy, with questions for review; illustrated by one hundred and eighty-eight engravings ... By Francis J. Grund ... | Grund, Francis J. 1804-1863. | Carter, Hendee & co., 1835.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=njp.32101013012156&view=1up&seq=218
njp/30115/njp.32101013012156_00000156_00.jpg,1835,"Elements of natural philosophy, with questions for review; illustrated by one hundred and eighty-eight engravings ... By Francis J. Grund ... | Grund, Francis J. 1804-1863. | Carter, Hendee & co., 1835.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=njp.32101013012156&view=1up&seq=156
njp/30115/njp.32101013012156_00000272_01.jpg,1835,"Elements of natural philosophy, with questions for review; illustrated by one hundred and eighty-eight engravings ... By Francis J. Grund ... | Grund, Francis J. 1804-1863. | Carter, Hendee & co., 1835.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=njp.32101013012156&view=1up&seq=272
njp/30115/njp.32101013012156_00000119_00.jpg,1835,"Elements of natural philosophy, with questions for review; illustrated by one hundred and eighty-eight engravings ... By Francis J. Grund ... | Grund, Francis J. 1804-1863. | Carter, Hendee & co., 1835.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=njp.32101013012156&view=1up&seq=119
njp/30115/njp.32101013012156_00000154_00.jpg,1835,"Elements of natural philosophy, with questions for review; illustrated by one hundred and eighty-eight engravings ... By Francis J. Grund ... | Grund, Francis J. 1804-1863. | Carter, Hendee & co., 1835.",carter-hendee,inline_image,https://babel.hathitrust.org/cgi/pt?id=njp.32101013012156&view=1up&seq=154
